benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,eif_baseline,0,0,143775,,0.846,0,0.159,141800,,
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,4,25,143770,0.927,0.846,0,0.474,151740,,83.51635054602656
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,4,50,143770,0.861,0.846,0,0.493,151740,,90.85237089652524
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,4,75,143775,0.837,0.846,0,0.496,151740,,94.02623744561129
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,8,75,143769,0.993,0.846,0,0.812,155260,,99.26585664285918
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,8,100,143768,0.992,0.846,0,0.816,155260,,99.51057109523946
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,8,125,143770,0.99,0.846,0,0.813,155260,,99.35109289617486
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,16,150,143770,0.998,0.846,0,0.823,136380,,99.93742355718634
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,16,175,143770,0.998,0.846,0,0.823,136380,,99.92317541613316
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,16,200,143770,0.997,0.846,0,0.821,136380,,99.90323315118397
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,24,200,143770,1.0,0.846,0,0.824,143420,,100.0
